                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.60097,                 1.2591,                 1.2954,                 1.0996,                0.54296,                0.51914,                0.51832,                0.36868,                0.54296,                0.51914,                0.50536,                 0.3243,                0.95626,                 1.8985,                 1.9725,                 1.5786,             0.00029687,             0.00029687,             0.00029687
                     25,                0.63203,                 1.2471,                  1.281,                 1.1416,                0.54104,                0.54502,                0.54756,                0.39435,                0.54284,                0.54271,                0.54838,                0.35923,                0.98006,                 1.7322,                  1.844,                 1.6024,             0.00028646,             0.00028646,             0.00028646
                     26,                0.60275,                 1.1727,                 1.2099,                 1.1148,                0.53612,                 0.5718,                0.54388,                 0.4037,                0.52797,                0.55837,                0.53349,                 0.3666,                0.98572,                  1.742,                 1.9147,                 1.6192,             0.00027604,             0.00027604,             0.00027604
                     27,                0.59097,                 1.1406,                 1.1946,                 1.1113,                0.58142,                0.56537,                0.58385,                0.44203,                 0.5656,                0.54089,                0.56387,                0.39437,                0.96683,                 1.6836,                  1.757,                 1.5799,             0.00026563,             0.00026563,             0.00026563
                     28,                0.59632,                 1.2422,                 1.1965,                 1.1094,                0.54755,                0.54527,                0.57001,                0.43069,                0.56275,                0.52912,                0.55856,                0.39107,                0.97912,                 1.8188,                 1.8299,                  1.629,             0.00025522,             0.00025522,             0.00025522
                     29,                 0.5738,                 1.2275,                 1.1558,                 1.0988,                0.71915,                 0.4996,                0.59786,                0.43467,                0.68082,                0.47634,                0.55747,                0.38155,                0.97642,                   1.89,                 1.7014,                 1.6369,              0.0002448,              0.0002448,              0.0002448
                     30,                0.55429,                 1.1412,                 1.0983,                 1.1009,                0.62376,                0.54982,                0.58767,                0.43135,                0.61774,                0.54466,                0.57646,                0.37793,                0.96174,                 1.7476,                 1.7314,                 1.5814,             0.00023439,             0.00023439,             0.00023439
                     31,                0.54982,                 1.2455,                 1.0995,                 1.0908,                 0.5241,                0.53523,                0.56998,                0.42322,                0.54749,                0.52321,                0.57982,                0.38163,                0.99889,                 1.8063,                 1.8421,                 1.6071,             0.00022397,             0.00022397,             0.00022397
                     32,                0.56328,                 1.1189,                 1.0597,                 1.0997,                0.61905,                0.56641,                0.60268,                0.44059,                0.61273,                0.56058,                0.59224,                0.39558,                0.98223,                 1.8454,                 1.6534,                 1.6426,             0.00021356,             0.00021356,             0.00021356
                     33,                0.54269,                 1.0706,                 1.0113,                 1.0689,                0.67483,                0.51917,                0.62223,                0.48047,                 0.6623,                0.50793,                0.60371,                0.42615,                0.93526,                 1.8011,                  1.605,                 1.5811,             0.00020314,             0.00020314,             0.00020314
                     34,                0.54151,                 1.0636,                0.98542,                 1.0786,                0.58649,                0.58022,                0.60156,                0.46444,                0.56751,                0.55966,                0.58243,                0.40977,                0.91726,                 1.8834,                 1.6189,                 1.5594,             0.00019273,             0.00019273,             0.00019273
                     35,                0.53698,                 1.0905,                 1.0101,                 1.0868,                0.65087,                0.54642,                 0.5884,                0.44149,                0.65044,                0.53409,                0.57129,                0.39782,                 0.9414,                  1.948,                  1.705,                 1.5782,             0.00018231,             0.00018231,             0.00018231
                     36,                0.52069,                 1.1049,                0.99304,                 1.0717,                0.70742,                0.49884,                0.59145,                 0.4449,                0.68018,                0.48083,                 0.5644,                0.39379,                0.96211,                 1.8479,                 1.6893,                  1.629,              0.0001719,              0.0001719,              0.0001719
                     37,                0.52997,                 1.0855,                0.96585,                 1.0716,                0.61426,                0.62525,                 0.6263,                0.46252,                0.59547,                0.61022,                0.60658,                0.41385,                 0.9839,                  1.842,                 1.6219,                 1.6086,             0.00016148,             0.00016148,             0.00016148
                     38,                0.51159,                0.99354,                0.89467,                 1.0598,                0.59714,                0.57921,                0.59843,                0.44692,                0.59049,                0.57448,                0.58408,                 0.4019,                0.96194,                 1.8451,                 1.6813,                 1.5916,             0.00015107,             0.00015107,             0.00015107
