                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.31982,                0.74365,                0.40056,                0.98512,                0.66503,                0.53679,                0.60941,                0.48359,                0.64284,                0.51481,                0.57599,                0.42156,                0.85647,                 2.1327,                  1.741,                   1.62,             0.00028646,             0.00028646,             0.00028646
                     25,                0.30107,                0.73524,                 0.3821,                0.94245,                0.71281,                0.46873,                0.60577,                0.48736,                0.63117,                0.49855,                0.60416,                 0.4273,                0.91233,                 1.9967,                 1.8965,                 1.6432,             0.00027604,             0.00027604,             0.00027604
                     26,                0.27522,                0.66766,                0.36114,                0.92932,                0.65265,                 0.5516,                0.60678,                0.47664,                0.63988,                0.54076,                0.58343,                0.42387,                0.92317,                  2.104,                 1.7894,                 1.6672,             0.00026563,             0.00026563,             0.00026563
                     27,                0.27914,                0.69492,                0.32522,                0.93166,                0.57724,                0.60874,                0.59362,                0.47142,                0.57395,                 0.6019,                0.57799,                0.41413,                0.88042,                 2.1368,                 1.7952,                 1.6471,             0.00025522,             0.00025522,             0.00025522
                     28,                0.28956,                0.68303,                0.38999,                0.94348,                0.69606,                0.46988,                0.57583,                0.45334,                0.68636,                0.46285,                0.56614,                0.37996,                0.85801,                 2.2707,                 1.8365,                 1.5615,              0.0002448,              0.0002448,              0.0002448
                     29,                0.25991,                0.69827,                0.32412,                0.93259,                0.66914,                0.51054,                0.60864,                 0.4752,                0.66166,                0.50336,                0.59662,                 0.4148,                0.87691,                 1.9903,                 1.7344,                  1.655,             0.00023439,             0.00023439,             0.00023439
                     30,                0.28335,                0.66864,                0.35588,                0.94493,                0.64255,                0.55697,                0.60769,                0.49045,                0.61354,                0.54049,                0.58522,                0.42539,                0.82422,                 1.9231,                 1.8888,                 1.5745,             0.00022397,             0.00022397,             0.00022397
                     31,                0.26993,                0.62694,                0.32365,                0.93361,                  0.607,                0.59757,                0.60325,                0.48835,                0.59297,                0.57172,                0.57293,                0.42208,                0.85291,                 2.0333,                  1.733,                 1.6206,             0.00021356,             0.00021356,             0.00021356
                     32,                0.25894,                0.64445,                0.29835,                0.94438,                0.65784,                0.56386,                0.62645,                0.49949,                0.61875,                0.53424,                0.58414,                0.42868,                0.80638,                 2.2224,                 1.6885,                 1.5524,             0.00020314,             0.00020314,             0.00020314
                     33,                0.25216,                0.59751,                0.27587,                0.92757,                0.62235,                0.58582,                0.62071,                0.50489,                0.61349,                0.57287,                0.60932,                0.43603,                0.77031,                 1.8724,                 1.7333,                 1.4878,             0.00019273,             0.00019273,             0.00019273
                     34,                0.24118,                0.62432,                0.28901,                 0.9023,                0.71882,                0.56669,                0.62131,                0.50031,                0.69022,                0.54668,                0.59414,                0.42156,                0.81287,                 2.0094,                 1.6909,                 1.5691,             0.00018231,             0.00018231,             0.00018231
                     35,                0.23429,                0.60438,                0.26312,                0.89194,                0.61754,                0.54529,                0.60746,                0.47674,                0.60787,                0.53223,                0.58576,                0.42496,                 0.8883,                 2.0718,                  1.732,                 1.6938,              0.0001719,              0.0001719,              0.0001719
                     36,                0.23506,                0.58569,                0.24802,                0.91238,                0.72074,                0.51395,                0.60362,                0.49508,                0.57077,                0.59087,                0.57692,                0.43004,                0.84196,                   2.06,                 1.9588,                 1.6377,             0.00016148,             0.00016148,             0.00016148
                     37,                0.23295,                0.53497,                0.25152,                0.89703,                0.62862,                 0.6646,                 0.6502,                0.52487,                0.61973,                0.64541,                0.63727,                0.46168,                0.75901,                 2.0369,                 1.5384,                 1.5672,             0.00015107,             0.00015107,             0.00015107
                     38,                0.22505,                0.54477,                0.23779,                0.89376,                0.60857,                0.62186,                0.64125,                0.51446,                0.59599,                0.61337,                0.62493,                0.45773,                0.79061,                 2.0055,                  1.569,                 1.5603,             0.00014065,             0.00014065,             0.00014065
                     39,                0.21957,                0.53821,                0.23353,                0.89148,                0.70157,                0.55901,                0.62993,                0.50971,                0.59767,                0.61451,                0.62383,                 0.4429,                0.78961,                 2.0389,                 1.6339,                 1.5806,             0.00013024,             0.00013024,             0.00013024
                     40,                 0.2177,                0.52705,                0.22095,                0.89601,                0.63114,                0.61777,                0.63941,                0.51054,                0.62746,                 0.6056,                0.62667,                0.44579,                 0.8316,                 1.9944,                 1.6145,                 1.6211,             0.00011982,             0.00011982,             0.00011982
                     41,                0.20545,                0.49734,                0.20795,                0.89202,                0.68898,                0.57053,                0.62788,                0.50216,                0.68471,                0.56374,                0.62185,                0.44157,                0.83375,                 1.9744,                 1.6173,                 1.6487,             0.00010941,             0.00010941,             0.00010941
                     42,                0.19871,                0.50336,                0.20795,                0.86524,                0.66666,                 0.6229,                0.64148,                0.51219,                0.64595,                0.59722,                0.62461,                0.44547,                 0.8171,                 1.9975,                 1.5995,                  1.646,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.19127,                0.50962,                0.18827,                0.87456,                0.68763,                0.60329,                0.63684,                0.51056,                0.65422,                0.57877,                0.61312,                0.44814,                0.79177,                 2.0426,                 1.6398,                 1.6137,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 0.1986,                0.50848,                0.20223,                0.88485,                0.67323,                0.60663,                0.64906,                0.52563,                0.64914,                0.59839,                0.62543,                0.45609,                 0.7899,                 2.0941,                 1.6158,                 1.5911,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                0.18222,                0.49669,                0.19099,                0.87904,                0.68388,                0.58896,                0.64903,                0.52848,                0.66239,                0.59259,                0.63226,                0.46352,                0.78031,                 2.0897,                  1.575,                 1.5837,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.19158,                0.50179,                0.18978,                0.88459,                0.68785,                 0.5936,                0.65522,                0.53501,                 0.6673,                0.57902,                0.63796,                0.47264,                 0.7908,                 2.1229,                 1.5444,                 1.6441,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.19129,                0.50362,                0.18166,                0.87994,                0.64762,                0.60207,                0.63971,                0.52491,                0.63625,                0.59439,                0.63029,                0.46811,                 0.7905,                    2.1,                 1.5307,                 1.6591,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.17762,                0.48615,                0.17307,                0.87186,                0.64869,                0.59887,                0.63275,                0.51838,                0.63706,                0.59102,                0.62286,                0.45959,                0.77546,                  2.154,                  1.534,                  1.658,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.18124,                0.47228,                0.17075,                0.87408,                 0.7276,                0.54238,                0.63408,                 0.5221,                0.73732,                0.52735,                0.62716,                0.46226,                0.76049,                 2.1506,                 1.5352,                 1.6227,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                   0.17,                0.47859,                0.16789,                0.86326,                0.67292,                0.58432,                0.64317,                0.53382,                0.66069,                0.57664,                0.63646,                0.47148,                0.76173,                 2.1394,                 1.5417,                 1.6276,             1.5675e-05,             1.5675e-05,             1.5675e-05
