                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.747,                  2.276,                 3.2682,                 1.2727,                0.13274,                0.62471,                0.20908,                 0.1542,                0.13122,                0.59389,                0.21521,                0.14243,                 1.0152,                 2.2285,                 6.3607,                  1.783,             0.00017275,             0.00017275,             0.00017275
                      2,                0.81137,                 1.9875,                 2.7669,                 1.3029,                  0.168,                0.46729,                0.23414,                0.16661,                0.16891,                 0.4664,                 0.2328,                  0.154,                 1.1102,                 2.6927,                  4.647,                 1.8929,             0.00033086,             0.00033086,             0.00033086
                      3,                0.84831,                 2.0081,                 2.6326,                 1.3144,                0.14915,                0.46246,                0.21461,                0.15031,                0.12655,                0.43071,                0.20229,                0.12789,                 1.0598,                 2.3164,                 5.0706,                 1.7443,              0.0004716,              0.0004716,              0.0004716
                      4,                0.88447,                 1.9487,                 2.5327,                 1.3672,                0.25422,                0.35247,                0.22823,                0.15473,                0.24586,                0.33233,                0.21938,                0.11454,                  1.072,                 2.2555,                 3.1017,                 1.6847,             0.00044789,             0.00044789,             0.00044789
                      5,                0.82885,                 1.7639,                 2.4046,                 1.2964,                0.34543,                0.39767,                0.32029,                0.22824,                0.34736,                0.36824,                0.32193,                0.21162,                 1.0877,                  2.137,                 2.5741,                 1.7576,             0.00042185,             0.00042185,             0.00042185
                      6,                0.83211,                 1.8343,                 2.3364,                  1.301,                0.25642,                0.54452,                 0.3634,                0.26793,                0.24336,                0.53076,                0.34219,                0.22546,                 1.0965,                 2.1237,                 2.7693,                  1.795,             0.00039581,             0.00039581,             0.00039581
                      7,                 0.8546,                 1.8107,                 2.3041,                 1.3201,                0.22994,                0.41692,                0.29473,                0.21894,                0.21432,                0.39107,                0.27032,                0.17689,                 1.0126,                 2.1188,                 2.5384,                 1.6586,             0.00036978,             0.00036978,             0.00036978
                      8,                0.78659,                 1.7411,                 2.1849,                 1.2656,                0.35626,                0.33703,                 0.3196,                0.22362,                0.35336,                0.33148,                0.30411,                0.19074,                 1.0257,                 2.0434,                 2.7342,                 1.6349,             0.00034374,             0.00034374,             0.00034374
                      9,                0.78835,                 1.6712,                 2.1298,                 1.2769,                0.25028,                0.45908,                0.35387,                 0.2613,                0.23643,                0.42967,                0.33104,                0.22811,                0.99336,                 2.1142,                 2.3545,                 1.6038,              0.0003177,              0.0003177,              0.0003177
                     10,                0.75015,                 1.5967,                 2.0148,                  1.243,                0.47303,                0.40291,                0.41242,                0.29752,                0.38642,                0.40688,                 0.4097,                0.26931,                0.97344,                 1.8441,                 2.2353,                 1.5864,             0.00029167,             0.00029167,             0.00029167
                     11,                0.72996,                 1.4373,                 1.9512,                 1.3488,                0.42966,                0.50286,                0.42771,                 0.3222,                0.43453,                0.48158,                0.42183,                0.27649,                 1.0775,                 1.9297,                 2.2359,                 1.7044,             0.00026563,             0.00026563,             0.00026563
                     12,                0.70228,                 1.4943,                  1.797,                 1.3571,                0.38746,                0.47439,                0.45243,                0.33819,                0.37947,                0.46143,                0.42898,                0.29806,                0.95824,                 1.7992,                 2.0618,                  1.581,             0.00023959,             0.00023959,             0.00023959
                     13,                0.59908,                  1.299,                 1.6545,                 1.2532,                0.39976,                0.46562,                0.43685,                0.33409,                0.39949,                0.46605,                0.43212,                 0.2904,                0.93043,                 1.8175,                  1.999,                 1.5603,             0.00021356,             0.00021356,             0.00021356
                     14,                0.57117,                 1.2295,                 1.4967,                 1.2049,                0.41266,                0.56148,                0.51097,                 0.3809,                0.46251,                0.48155,                0.49366,                0.34606,                0.94742,                   1.72,                 1.9484,                  1.569,             0.00018752,             0.00018752,             0.00018752
                     15,                 0.5394,                  1.259,                 1.4298,                 1.1955,                0.48359,                0.54194,                0.54387,                0.43114,                0.47153,                0.53058,                0.51986,                0.37182,                0.86051,                 1.7348,                 1.7934,                 1.4837,             0.00016148,             0.00016148,             0.00016148
                     16,                0.47695,                 1.1111,                 1.3384,                 1.1423,                0.55551,                0.47713,                 0.5159,                0.39575,                0.54092,                0.46306,                0.50071,                0.34721,                0.81178,                 1.7627,                 1.8502,                 1.4637,             0.00013544,             0.00013544,             0.00013544
                     17,                0.44467,                 1.0674,                 1.2108,                 1.1016,                0.59613,                0.49587,                0.55478,                0.43571,                0.58158,                0.48431,                0.53117,                0.39092,                0.78934,                 1.6905,                 1.7771,                 1.4208,             0.00010941,             0.00010941,             0.00010941
                     18,                0.41325,                 1.0406,                 1.0708,                 1.0516,                0.57757,                0.55032,                0.57823,                0.46072,                0.58065,                0.54383,                0.56171,                0.41201,                0.77239,                  1.672,                 1.6352,                 1.3955,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                0.37791,                0.99611,                  1.005,                 1.0453,                0.51934,                0.56543,                0.57299,                0.45705,                0.50928,                 0.5535,                0.54971,                0.40389,                0.79177,                 1.7533,                 1.6446,                 1.4338,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                0.36545,                0.93586,                0.94656,                 1.0305,                0.55781,                0.54939,                0.56667,                0.45374,                0.55591,                0.53563,                0.54346,                0.39947,                 0.8204,                 1.7298,                 1.6335,                 1.4708,             3.1297e-05,             3.1297e-05,             3.1297e-05
