                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.747,                  2.276,                 3.2682,                 1.2727,                0.13274,                0.62471,                0.20908,                 0.1542,                0.13122,                0.59389,                0.21521,                0.14243,                 1.0152,                 2.2285,                 6.3607,                  1.783,             0.00017275,             0.00017275,             0.00017275
                      2,                0.81137,                 1.9875,                 2.7669,                 1.3029,                  0.168,                0.46729,                0.23414,                0.16661,                0.16891,                 0.4664,                 0.2328,                  0.154,                 1.1102,                 2.6927,                  4.647,                 1.8929,             0.00033086,             0.00033086,             0.00033086
                      3,                0.84831,                 2.0081,                 2.6326,                 1.3144,                0.14915,                0.46246,                0.21461,                0.15031,                0.12655,                0.43071,                0.20229,                0.12789,                 1.0598,                 2.3164,                 5.0706,                 1.7443,              0.0004716,              0.0004716,              0.0004716
                      4,                0.88447,                 1.9487,                 2.5327,                 1.3672,                0.25422,                0.35247,                0.22823,                0.15473,                0.24586,                0.33233,                0.21938,                0.11454,                  1.072,                 2.2555,                 3.1017,                 1.6847,             0.00044789,             0.00044789,             0.00044789
                      5,                0.82885,                 1.7639,                 2.4046,                 1.2964,                0.34543,                0.39767,                0.32029,                0.22824,                0.34736,                0.36824,                0.32193,                0.21162,                 1.0877,                  2.137,                 2.5741,                 1.7576,             0.00042185,             0.00042185,             0.00042185
                      6,                0.83211,                 1.8343,                 2.3364,                  1.301,                0.25642,                0.54452,                 0.3634,                0.26793,                0.24336,                0.53076,                0.34219,                0.22546,                 1.0965,                 2.1237,                 2.7693,                  1.795,             0.00039581,             0.00039581,             0.00039581
                      7,                 0.8546,                 1.8107,                 2.3041,                 1.3201,                0.22994,                0.41692,                0.29473,                0.21894,                0.21432,                0.39107,                0.27032,                0.17689,                 1.0126,                 2.1188,                 2.5384,                 1.6586,             0.00036978,             0.00036978,             0.00036978
                      8,                0.78659,                 1.7411,                 2.1849,                 1.2656,                0.35626,                0.33703,                 0.3196,                0.22362,                0.35336,                0.33148,                0.30411,                0.19074,                 1.0257,                 2.0434,                 2.7342,                 1.6349,             0.00034374,             0.00034374,             0.00034374
                      9,                0.78835,                 1.6712,                 2.1298,                 1.2769,                0.25028,                0.45908,                0.35387,                 0.2613,                0.23643,                0.42967,                0.33104,                0.22811,                0.99336,                 2.1142,                 2.3545,                 1.6038,              0.0003177,              0.0003177,              0.0003177
