                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43311,                 1.0156,                 1.1432,                 1.1047,                0.47994,                0.43657,                0.44183,                0.34732,                0.47041,                0.42748,                0.42006,                0.30018,                0.84885,                 1.8585,                  2.259,                 1.5096,             0.00017209,             0.00017209,             0.00017209
                      2,                  0.552,                   1.17,                 1.3823,                 1.2104,                0.49084,                0.43149,                0.42209,                0.30781,                0.48634,                0.43686,                0.41489,                 0.2843,                 1.0978,                 2.0466,                 2.4386,                 1.7559,             0.00034054,             0.00034054,             0.00034054
                      3,                0.67734,                 1.3553,                 1.5224,                 1.3099,                0.37305,                0.46611,                 0.4239,                 0.2995,                0.37604,                0.43462,                0.40468,                0.26486,                 1.0526,                 2.3896,                 2.2418,                  1.733,             0.00050205,             0.00050205,             0.00050205
                      4,                0.68958,                 1.5384,                 1.6434,                 1.3451,                0.39913,                 0.4385,                0.38326,                0.27877,                 0.3813,                0.41801,                0.34855,                0.21078,                 1.1072,                 2.6819,                 2.5363,                 1.7896,             0.00049476,             0.00049476,             0.00049476
                      5,                0.74036,                 1.6106,                 1.6353,                 1.3585,                  0.489,                0.40465,                0.47378,                0.33601,                0.45694,                0.41275,                0.45437,                0.30312,                 1.0831,                 2.1906,                 2.2352,                 1.7531,             0.00048434,             0.00048434,             0.00048434
                      6,                0.73688,                 1.5361,                 1.5478,                 1.3662,                0.39462,                0.46589,                0.46337,                0.33711,                 0.3927,                 0.4593,                0.44435,                 0.2996,                 1.0295,                 2.0941,                 2.1736,                 1.6948,             0.00047393,             0.00047393,             0.00047393
                      7,                0.70029,                 1.4363,                 1.5109,                 1.3261,                0.43929,                 0.4812,                0.44146,                0.29469,                0.40071,                0.50642,                0.42349,                0.26826,                 1.2921,                 2.1257,                 2.3837,                  1.971,             0.00046351,             0.00046351,             0.00046351
                      8,                0.70592,                 1.5291,                 1.4442,                 1.3396,                0.45008,                0.47925,                0.44843,                0.32581,                0.43198,                0.47349,                0.42799,                0.28937,                 1.0984,                  2.068,                 2.2425,                 1.7607,              0.0004531,              0.0004531,              0.0004531
                      9,                0.67915,                 1.4726,                 1.4779,                 1.2998,                0.44727,                0.48637,                0.45087,                0.34057,                0.43208,                0.46165,                0.41815,                0.28577,                 1.0537,                 2.2665,                 2.1752,                 1.6873,             0.00044268,             0.00044268,             0.00044268
                     10,                0.67903,                 1.4572,                 1.3886,                 1.3162,                0.57165,                0.48069,                0.48964,                0.33786,                0.54911,                0.43717,                0.43429,                 0.2873,                 1.0362,                 2.0329,                  2.131,                 1.6591,             0.00043227,             0.00043227,             0.00043227
