                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.59555,                 1.4405,                  1.289,                 1.2134,                 0.5426,                0.43114,                0.49283,                0.36506,                0.52812,                0.41776,                0.47358,                0.32363,                 0.9489,                  1.966,                 2.2555,                 1.6071,             0.00042185,             0.00042185,             0.00042185
                     12,                0.56762,                  1.319,                  1.231,                 1.1945,                0.49017,                0.45409,                0.48071,                0.37131,                0.48566,                0.45409,                 0.4654,                0.31254,                0.99067,                 2.1898,                 1.9837,                 1.6374,             0.00041144,             0.00041144,             0.00041144
                     13,                0.55491,                 1.2394,                 1.2157,                 1.2084,                0.38309,                 0.5813,                0.49629,                0.37042,                0.36408,                0.55826,                0.46766,                0.31965,                  1.013,                 2.0893,                  1.918,                 1.6511,             0.00040102,             0.00040102,             0.00040102
                     14,                0.56301,                 1.2939,                 1.2217,                 1.2142,                0.47895,                0.48301,                0.48555,                0.36153,                0.45126,                0.49406,                0.46375,                0.31279,                 1.0249,                 2.1054,                 2.0217,                 1.6837,             0.00039061,             0.00039061,             0.00039061
                     15,                0.57151,                 1.2603,                 1.1392,                 1.2065,                0.58178,                0.45177,                0.53791,                0.41026,                0.56698,                0.44015,                0.50865,                0.32875,                0.92386,                  1.977,                 1.9381,                 1.5042,             0.00038019,             0.00038019,             0.00038019
                     16,                0.52473,                 1.2696,                 1.0819,                 1.1579,                 0.6187,                0.43609,                0.49923,                0.38104,                0.58191,                0.41706,                0.47009,                0.32872,                 1.0022,                  1.897,                 2.0948,                 1.6359,             0.00036978,             0.00036978,             0.00036978
                     17,                0.53264,                 1.2021,                 1.0057,                 1.1769,                0.49248,                0.52714,                0.50207,                0.38872,                0.57144,                0.44812,                0.45635,                0.32272,                0.90629,                 2.0121,                 2.0372,                 1.5352,             0.00035936,             0.00035936,             0.00035936
                     18,                0.53244,                 1.2009,                0.97392,                  1.153,                0.52783,                0.46374,                0.49919,                  0.375,                0.51124,                0.43726,                 0.4689,                0.31429,                0.92628,                  2.302,                 2.0188,                 1.5187,             0.00034895,             0.00034895,             0.00034895
                     19,                 0.4897,                 1.1097,                0.91289,                  1.116,                0.46458,                0.47888,                 0.5034,                0.39454,                0.57835,                0.41669,                0.49705,                0.35435,                0.94475,                 2.1707,                 2.2114,                 1.6449,             0.00033853,             0.00033853,             0.00033853
                     20,                0.49172,                 1.1159,                0.93281,                 1.1432,                 0.6001,                0.47078,                0.53528,                0.41079,                0.58134,                0.45934,                 0.5217,                0.36036,                0.98655,                 2.0388,                 1.7695,                 1.6925,             0.00032812,             0.00032812,             0.00032812
                     21,                0.44006,                  1.043,                0.91301,                 1.0832,                0.61203,                0.47331,                0.54006,                0.42282,                0.60104,                0.46148,                0.52835,                0.35208,                0.94965,                 2.1251,                 2.0181,                 1.5707,              0.0003177,              0.0003177,              0.0003177
                     22,                0.47098,                 1.1031,                 0.8424,                 1.1155,                0.56661,                0.51552,                0.55228,                0.43431,                0.64192,                0.46749,                0.53944,                0.37416,                0.90239,                 2.1397,                 1.6941,                  1.616,             0.00030729,             0.00030729,             0.00030729
                     23,                0.43668,                 1.0334,                0.78408,                 1.0809,                0.52042,                0.55953,                 0.5432,                0.42426,                0.50564,                0.54103,                0.52794,                0.36006,                0.88386,                  1.941,                 1.8642,                 1.5186,             0.00029687,             0.00029687,             0.00029687
                     24,                0.41491,                  0.986,                0.75137,                 1.0775,                0.56245,                0.50923,                0.56429,                0.44641,                0.53795,                0.48177,                0.53908,                0.37787,                0.85595,                 2.0004,                 1.7077,                 1.4962,             0.00028646,             0.00028646,             0.00028646
                     25,                0.41937,                0.97111,                 0.6926,                 1.0474,                0.57465,                0.58664,                0.58359,                0.44999,                0.53175,                0.56496,                 0.5509,                0.39536,                0.91698,                 2.0653,                 1.8955,                 1.5562,             0.00027604,             0.00027604,             0.00027604
                     26,                0.39527,                0.98896,                0.64356,                 1.0452,                0.55134,                0.61997,                0.58624,                0.45059,                 0.5366,                0.59429,                0.54639,                0.38803,                0.89874,                  2.006,                 1.6819,                 1.5391,             0.00026563,             0.00026563,             0.00026563
                     27,                0.39095,                0.96087,                 0.5986,                 1.0441,                0.60037,                0.51904,                0.57128,                0.46429,                0.59416,                0.51329,                0.56393,                0.39932,                0.85972,                 2.0793,                 1.5808,                 1.5418,             0.00025522,             0.00025522,             0.00025522
                     28,                0.37135,                0.88503,                0.62694,                 1.0206,                0.68069,                0.54205,                0.58232,                0.46898,                0.65417,                0.52433,                0.55156,                0.40076,                0.82554,                 1.9516,                 1.7438,                 1.4779,              0.0002448,              0.0002448,              0.0002448
                     29,                0.36549,                0.90254,                0.58571,                 1.0153,                0.65308,                0.53682,                0.60507,                0.47545,                0.66294,                0.50179,                0.56896,                0.40423,                0.82627,                 2.0093,                 1.6739,                 1.5193,             0.00023439,             0.00023439,             0.00023439
                     30,                0.37296,                 0.9022,                0.60721,                 1.0263,                0.62089,                0.52778,                0.58083,                0.47438,                0.60245,                0.50922,                0.55172,                 0.4054,                0.87984,                 1.9587,                 2.2854,                 1.5854,             0.00022397,             0.00022397,             0.00022397
                     31,                0.34321,                0.83294,                0.52257,                0.99454,                0.69255,                0.51381,                0.60769,                0.49176,                0.65823,                0.48836,                0.57747,                0.41934,                0.84609,                 2.0739,                 1.6633,                  1.528,             0.00021356,             0.00021356,             0.00021356
                     32,                 0.3282,                0.82933,                0.52194,                0.99271,                 0.7116,                0.51921,                0.60591,                0.48392,                0.66394,                0.51041,                0.58462,                0.41293,                0.81312,                 2.1166,                 1.7493,                 1.5118,             0.00020314,             0.00020314,             0.00020314
                     33,                0.34874,                0.78793,                0.50163,                  1.018,                0.61126,                0.54677,                0.60371,                0.46605,                0.57787,                0.52277,                 0.5681,                 0.4069,                0.87694,                 1.9385,                 1.7629,                 1.5496,             0.00019273,             0.00019273,             0.00019273
                     34,                0.30545,                0.80872,                0.47745,                0.95618,                0.53068,                0.59163,                0.59467,                 0.4806,                0.51027,                0.57149,                0.57489,                0.41878,                0.83069,                 1.9687,                 1.6485,                  1.514,             0.00018231,             0.00018231,             0.00018231
                     35,                0.29666,                0.75091,                0.42458,                0.94671,                 0.6197,                0.53936,                0.58582,                 0.4604,                0.59276,                0.54014,                0.57369,                0.41044,                0.82088,                 1.8853,                 1.7217,                 1.5006,              0.0001719,              0.0001719,              0.0001719
                     36,                0.29651,                0.76534,                0.43967,                0.96317,                0.69023,                0.53579,                0.60551,                0.47554,                0.67249,                0.52291,                0.59067,                0.42121,                0.83056,                 1.9312,                 1.8237,                 1.5315,             0.00016148,             0.00016148,             0.00016148
                     37,                0.29502,                0.70887,                0.42212,                0.95226,                0.68702,                0.52356,                0.58271,                0.46695,                0.67004,                0.50643,                0.56133,                0.40454,                0.79266,                 2.1353,                 1.7565,                 1.5442,             0.00015107,             0.00015107,             0.00015107
                     38,                0.27637,                0.70626,                0.38511,                0.93148,                0.59717,                0.59321,                0.60404,                 0.4792,                0.58591,                0.58109,                0.58584,                0.42329,                0.78202,                  1.979,                 1.6468,                 1.4455,             0.00014065,             0.00014065,             0.00014065
                     39,                0.26663,                0.66145,                0.36836,                0.92756,                0.65049,                0.62195,                0.61008,                0.48649,                0.62485,                0.59155,                0.59081,                0.42642,                0.80591,                 2.1505,                 1.6652,                 1.5322,             0.00013024,             0.00013024,             0.00013024
                     40,                0.26438,                0.66352,                0.33884,                0.93702,                   0.69,                0.57722,                0.62125,                0.49767,                0.68163,                0.57016,                0.60816,                0.44397,                0.82159,                 2.1153,                 1.5671,                 1.5202,             0.00011982,             0.00011982,             0.00011982
                     41,                0.24812,                0.60772,                0.30236,                0.93018,                0.64124,                0.58109,                0.59502,                0.48685,                0.62174,                0.56343,                0.57099,                0.42502,                0.81029,                  2.116,                 1.7114,                 1.5682,             0.00010941,             0.00010941,             0.00010941
                     42,                0.23958,                0.60272,                0.29615,                0.89942,                0.74666,                0.54255,                0.62073,                0.49807,                 0.7265,                0.52906,                0.60326,                0.44722,                0.78558,                 2.1154,                 1.6362,                 1.5121,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.23142,                0.62363,                0.28742,                0.90743,                0.68502,                0.54488,                0.61546,                 0.5049,                0.60719,                0.58258,                0.59329,                0.44373,                0.78196,                 2.0367,                 1.5876,                 1.5022,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.23813,                0.62588,                0.30139,                0.91671,                0.69463,                0.59329,                0.63514,                0.51147,                0.67671,                0.57543,                0.61474,                0.44778,                0.80766,                  2.038,                 1.6336,                 1.5583,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                 0.2213,                0.56958,                0.27434,                0.90538,                0.65595,                0.59801,                0.62173,                0.51326,                0.64282,                0.58529,                0.59932,                0.44466,                 0.7742,                 2.0073,                 1.6192,                 1.5224,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.23193,                0.57787,                0.26165,                0.91356,                0.68049,                0.58971,                0.61293,                0.50401,                0.66916,                0.58254,                0.59517,                0.43629,                0.75875,                 2.0785,                 1.5909,                 1.4916,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.21563,                0.59675,                0.24236,                0.90154,                0.76651,                0.52588,                0.62186,                0.51305,                0.74726,                0.51305,                0.59675,                 0.4444,                0.76507,                  2.047,                 1.5611,                 1.5102,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.21104,                0.57536,                0.23794,                0.89675,                0.71568,                0.56556,                0.62371,                0.51549,                0.69861,                0.55299,                0.59748,                0.44284,                0.76071,                 2.0739,                 1.5811,                 1.5163,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.20448,                0.54623,                0.23713,                0.89507,                0.78131,                0.55272,                0.62117,                0.50911,                0.76373,                0.54085,                0.59985,                0.43976,                0.75603,                 2.0702,                  1.554,                 1.5195,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.19852,                0.56107,                0.22991,                0.88549,                 0.7435,                 0.5645,                0.62132,                0.50902,                0.72379,                0.55201,                0.60256,                0.44614,                0.75291,                 2.0988,                 1.5526,                 1.5166,             1.5675e-05,             1.5675e-05,             1.5675e-05
